,Track,Explicit,Tpopularity,Artist,Album,Rdate
0,Paradise,false,49,Voyage,Paradise,2018-02-14
1,Tech Noir,false,56,Gunship,GUNSHIP,2015-07-24
2,Yes (Symmetry Remix),false,38,Chromatics,Yes (Love Theme From Lost River),2015-02-03
3,Night,false,39,John Carpenter,Lost Themes,2015-02-03
4,Depth Charge,false,5,Flume,Skin Companion EP II,2017-02-17
5,Wat U Mean,true,42,Lizzo,Lizzobangers,2014-05-20
6,Sissy That Walk,false,67,RuPaul,Born Naked,2014-02-24
7,Level Ya Pussy Up,false,49,Aja,Level Ya Pussy Up,2017-02-02
8,Pose,false,55,Naomi Smalls,Pose,2018-12-27
9,Bring It! - Tim Letteer Radio Edit,false,26,Manila Luzon,"Bring It!, Remixes, Pt. 1",2014-01-17
10,DRAG UP YOUR LIFE,false,48,RuPaul,DRAG UP YOUR LIFE,2018-03-02
11,1999,false,82,Charli XCX,1999,2018-10-05
12,Soak It Up (Remix),true,44,Monét X Change,Soak It Up,2018-05-25
13,Pay Me,false,41,Shangela Laquifa,Pay Me,2018-03-15
14,Demons Witches & Bitches,true,37,Aja,Demons Witches & Bitches,2018-10-17
15,Are You Still Certain? (feat. Mashrou' Leila),false,39,Hercules & Love Affair,Omnion,2017-09-01
16,"Kitty Girl (feat. The Cast of Rupaul's Drag Race All Stars, Season 3)",false,63,RuPaul,"Kitty Girl (feat. The Cast of Rupaul's Drag Race All Stars, Season 3)",2018-03-16
17,Trophy,true,48,Charli XCX,Vroom Vroom EP,2016-02-26
18,Interweb,false,44,Poppy,Poppy.Computer,2017-10-06
19,Call Me Mother,true,64,RuPaul,American,2017-03-24
20,Purse First (feat. DJ Mitch Ferrino),true,50,Bob the Drag Queen,Purse First (feat. DJ Mitch Ferrino),2016-05-16
21,Your Makeup Is Terrible,false,50,Alaska Thunderfuck,Anus,2015-06-23
22,C.L.A.T. (feat. DJ Mitch Ferrino),true,47,Aja,C.L.A.T. (feat. DJ Mitch Ferrino),2017-04-21
23,The Same Parts,true,45,Tatianna,The Same Parts,2016-09-01
24,Werqin' Girl (Professional),false,46,Shangela Laquifa,Werqin' Girl (Professional),2012-08-07
25,Now or Never,false,42,Blair St. Clair,Call My Life,2018-06-29
26,Brown Cow Stunning,true,56,Monique Heart,Brown Cow Stunning,2019-01-04
27,Supersonic,false,42,Detox,Supersonic,2016-09-02
28,"Read U Wrote U (Ellis Miah Mix) [feat. The Cast of RuPaul's Drag Race All Stars, Season 2]",true,61,RuPaul,"Read U Wrote U (Ellis Miah Mix) [feat. The Cast of RuPaul's Drag Race All Stars, Season 2]",2016-10-12
29,Linda Evangelista (feat. Aja),false,40,Adam Joseph,Linda Evangelista,2017-05-03
30,The T (feat. Adore Delano),true,50,Alaska Thunderfuck,Poundcake,2016-10-14
31,Finish Her!,true,45,Aja,Finish Her!,2018-03-01
32,Jungle Kitty,true,40,Bebe Zahara Benet,Jungle Kitty,2018-05-25
33,I'm Vanjie,true,43,Vanessa Vanjie Mateo,I'm Vanjie,2018-06-21
34,Mama Don't Make Me Put on the Dress Again,false,46,Trixie Mattel,Two Birds,2017-05-02
35,Hot Couture,true,43,Manila Luzon,Hot Couture,2011-11-08
36,RuPaulogize (feat. Sharon Needles),false,40,Willam,RuPaulogize (feat. Sharon Needles),2013-04-18
37,AAA,true,45,Courtney Act,AAA,2017-06-16
38,"Fat, Fem & Asian (From ""RuPaul's Drag Race 8"")",false,45,Lucian Piane,"Fat, Fem & Asian (From ""RuPaul's Drag Race 8"")",2016-05-16
39,Brujería,true,47,Aja,Brujería,2018-05-07
40,I Adore You,true,49,Adore Delano,Till Death Do Us Party,2014-06-03
41,Burn Rubber,false,38,Aquaria,Burn Rubber,2018-06-29
42,This Is My Hair,false,43,Alaska Thunderfuck,Anus,2015-06-23
43,Glamazon,false,57,RuPaul,Glamazon,2011-05-03
44,Legs (feat. Rye Rye),true,33,Laganja Estranja,Legs (feat. Rye Rye),2015-03-02
45,Looks (feat. Aquaria),true,42,Linux,Everybody Hates Linux,2016-04-01
46,Stun (feat. Gia Gunn),true,46,Alaska Thunderfuck,Poundcake,2016-10-14
47,Wrong Bitch,false,49,Todrick Hall,Straight Outta Oz,2016-06-24
48,Thick Thighs (feat. Latrice Royale),false,40,Willam,Shartistry in Motion,2015-06-02
49,The Chop,false,32,Manila Luzon & Latrice Royale,The Chop,2012-11-06
50,"The Baddest Bitches in Herstory (From ""Rupaul's Drag Race All Stars, Season 2"")",true,37,Lucian Piane,"The Baddest Bitches in Herstory (From ""Rupaul's Drag Race All Stars, Season 2"")",2016-09-09
